,duration,protocol_type,service,flag,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,lnum_compromised,lroot_shell,lsu_attempted,lnum_root,lnum_file_creations,lnum_shells,lnum_access_files,lnum_outbound_cmds,is_host_login,is_guest_login,count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate,label
21,163,1,56,9,1567,2979,0,0,0,3,0,1,4,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,Escalation of Privileges
22,0,1,45,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,2,0,0,0,0,0,0,0,255,2,0,0,0,0,0,0,0,0,DoS
23,0,1,45,7,18,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,7,0,0,0,0,0,0,0,255,8,0,0,0,0,0,0,0,0,DoS
24,0,1,22,9,338,1793,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,17,0.0,0.0,0.0,0.0,1.0,0.0,0.18,8,255,1.0,0.0,0.12,0.05,0.0,0.0,0.0,0.01,Normal
25,0,1,19,9,334,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6,32,1.0,0.0,1.0,0.16,0.0,0.0,0.0,0.0,Spoofing
26,0,0,14,9,1032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,511,511,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,255,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Tampering
27,259,1,56,4,1530,2280,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,90,1,0,0,0,0,0,0,0,3,3,1,0,0,0,0,0,0,0,Escalation of Privileges
28,0,1,18,9,1266,2451,0,0,0,28,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,134,0.53,0.02,0.0,0.0,0.0,0.0,0.0,0.0,Spoofing
29,0,1,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0.0,0.0,1.0,1.0,0.5,1.0,0.0,255,1,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,Repudiation
30,0,1,40,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,1.0,1.0,1.0,0.0,0.0,255,1,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,Repudiation
31,0,1,19,9,306,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,3,25,1,0,1,0,0,0,0,0,Information Disclosure
32,27,1,56,9,136,1331,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,3,2,0,0,0,0,0,0,0,0,Escalation of Privileges
33,480,1,43,9,1568,17114,0,0,0,9,0,1,4,0,0,4,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,232,5,0,0,0,0,0,0,0,0,Information Disclosure
34,0,1,50,9,872,335,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,106,109,0.31,0.05,0.01,0.03,0.0,0.0,0.0,0.0,Normal
35,0,1,18,9,1259,2453,0,0,0,28,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,55,0.22,0.02,0.0,0.0,0.0,0.0,0.0,0.0,Spoofing
36,0,1,19,9,266,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,25,1,0,1,0,0,0,0,0,Information Disclosure
37,220,1,56,6,1546,2529,0,0,0,1,0,1,2,0,0,0,1,0,0,0,0,0,51,1,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,Escalation of Privileges
38,0,0,14,9,1032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,511,511,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,255,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Tampering
39,0,1,19,9,246,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,3,36,1,0,1,0,0,0,0,0,Information Disclosure
40,1,1,18,9,1242,2451,0,0,0,28,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,89,0.35,0.02,0.0,0.0,0.0,0.0,0.0,0.0,Spoofing
41,0,1,22,9,301,1075,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,248,0.97,0.01,0.0,0.0,0.0,0.0,0.01,0.01,Normal
42,0,0,14,9,1032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,511,511,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,255,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Tampering
43,0,1,22,9,248,397,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13,21,0.0,0.0,0.0,0.0,1.0,0.0,0.19,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal
44,24,1,48,9,107,1505,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,Escalation of Privileges
45,0,1,50,9,825,332,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0.0,0.0,0.0,0.0,1.0,0.0,1.0,163,155,0.74,0.03,0.01,0.01,0.0,0.0,0.0,0.0,Normal
46,0,1,19,9,0,5050,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,3,1,0,1,0,0,0,0,0,Escalation of Privileges
47,0,0,14,9,1032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,511,511,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,255,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Tampering
48,6,1,18,9,227,637,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,1,1,0,0,0,0,1,0,0,3,1,0,0,0,0,0,0,0,0,Escalation of Privileges
49,0,0,13,9,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,255,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,Repudiation
50,0,1,22,9,213,7886,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,21,255,1.0,0.0,0.05,0.04,0.0,0.0,0.0,0.0,Normal
51,0,1,19,9,334,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,5,1.0,0.0,1.0,0.4,0.0,0.0,0.0,0.0,Spoofing
52,0,0,14,9,1032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,511,511,0,0,0,0,1,0,0,255,255,1,0,1,0,0,0,0,0,DoS
53,0,1,19,9,334,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3,11,1.0,0.0,1.0,0.27,0.0,0.0,0.0,0.0,Spoofing
54,0,1,19,9,334,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,224,51,0,0,0,0,0,0,0,0,Information Disclosure
55,46,1,46,9,123,302,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,189,1,0,0,0,0,0,0,0,0,Escalation of Privileges
56,0,2,45,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,13,0.0,0.0,0.0,0.0,0.37,0.09,0.0,255,27,0.11,0.57,0.45,0.0,0.16,0.0,0.39,0.0,Repudiation
57,0,1,19,9,334,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4,27,1.0,0.0,1.0,0.19,0.0,0.04,0.0,0.0,Spoofing
58,0,1,45,8,21,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,6,0,0,0,0,0,0,0,255,6,0,0,0,0,0,0,0,0,DoS
59,0,0,13,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,41,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,49,1.0,0.0,1.0,0.27,0.0,0.0,0.0,0.0,Repudiation
60,167,1,56,9,1563,2987,0,0,0,3,0,1,4,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,2,2,1,0,0,0,0,0,0,0,Escalation of Privileges
61,0,0,14,9,1032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,510,510,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,255,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Tampering
62,0,1,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,511,1,0.16,0.0,0.84,1.0,0.0,1.0,0.0,255,1,0.0,1.0,0.0,0.0,0.15,0.0,0.85,1.0,Repudiation
63,46,1,52,9,68,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,199,1,0,0,0,0,0,0,0,0,Escalation of Privileges
64,0,2,45,9,105,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,245,0.96,0.01,0.0,0.0,0.0,0.0,0.0,0.0,Normal
65,0,1,22,9,227,2662,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal
66,0,0,13,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,255,1.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,Repudiation
67,550,1,18,7,568510,1893,0,0,0,21,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,197,69,0,0,0,0,0,0,0,0,Information Disclosure
68,0,1,45,8,22,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,6,0,0,0,0,0,0,0,255,6,0,0,0,0,0,0,0,0,DoS
69,0,0,14,9,1032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,511,511,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,255,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Tampering
70,2630,2,40,9,146,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,1,0.0,0.84,1.0,0.0,0.0,0.0,0.0,0.0,Normal
71,0,1,19,9,209,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,194,86,0.3,0.02,0.3,0.02,0.0,0.0,0.0,0.0,Normal
72,0,1,19,9,0,5700,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,3,1,0,1,0,0,0,0,0,Escalation of Privileges
73,0,0,14,9,1032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,511,511,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,255,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Tampering
74,0,1,45,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,1,0,0,0,0,0,0,0,255,1,0,0,0,0,0,0,0,0,DoS
75,0,0,13,9,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,71,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,Repudiation
76,21,1,33,9,105,4051,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,104,2,0,0,0,0,0,0,0,0,Escalation of Privileges
77,0,1,45,7,17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,8,0,0,0,0,0,0,0,255,6,0,0,0,0,0,0,0,0,DoS
78,0,1,18,9,1224,2449,0,0,0,28,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,104,2,0.02,0.06,0.01,0.0,0.02,0.0,0.08,0.0,Spoofing
79,0,1,45,7,20,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,6,0,0,0,0,0,0,0,255,7,0,0,0,0,0,0,0,0,DoS
80,0,2,40,9,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,0.5,1.0,0.0,255,1,0.0,0.87,0.98,0.0,0.0,0.0,0.0,0.0,Normal
81,0,1,45,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,8,0,0,0,0,0,0,0,255,10,0,0,0,0,0,0,0,0,DoS
82,5064,1,19,9,5133876,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5,32,1.0,0.0,1.0,0.09,0.0,0.0,0.0,0.0,Spoofing
83,0,1,45,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,16,0,0,0,0,0,0,0,255,10,0,0,0,0,0,0,0,0,DoS
84,2,1,18,9,1230,2449,0,0,0,28,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,43,0.17,0.02,0.0,0.0,0.05,0.0,0.0,0.0,Spoofing
85,0,1,45,6,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,2,0,0,0,0,0,0,0,255,2,0,0,0,0,0,0,0,0,DoS
86,0,1,45,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,8,0,0,0,0,0,0,0,255,10,0,0,0,0,0,0,0,0,DoS
87,8,1,50,9,1305,334,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,218,97,0.39,0.03,0.0,0.02,0.0,0.0,0.0,0.0,Normal
88,0,0,14,9,1032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,511,511,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,255,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Tampering
89,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0.0,0.0,0.43,1.0,0.14,1.0,0.0,114,1,0.01,0.11,0.01,0.0,0.0,0.0,0.03,1.0,Repudiation
90,0,1,19,9,48,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,4,78,1,0,1,0,0,0,0,0,Information Disclosure
91,0,0,14,9,1032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,510,510,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,255,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Tampering
92,5,1,50,9,877,335,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0.0,0.0,0.0,0.0,1.0,0.0,1.0,26,180,0.77,0.08,0.04,0.02,0.0,0.0,0.0,0.0,Normal
93,0,1,45,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,8,0,0,0,0,0,0,0,255,8,0,0,0,0,0,0,0,0,DoS
94,0,1,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,511,1,0.12,0.0,0.88,1.0,0.0,1.0,0.0,255,1,0.0,1.0,0.0,0.0,0.13,0.0,0.87,1.0,Repudiation
95,41,1,29,9,437,6070,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,Escalation of Privileges
96,0,1,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,509,1,0.19,0.0,0.81,1.0,0.0,1.0,0.0,255,1,0.0,1.0,0.0,0.0,0.32,0.0,0.68,1.0,Repudiation
97,0,1,19,9,0,5884,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,3,1,0,1,0,0,0,0,0,Escalation of Privileges
98,0,1,28,7,215,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,13,39,1,0,0,0,0,0,0,0,Information Disclosure
99,121,1,49,9,1290,6390,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,Escalation of Privileges
100,0,1,19,9,334,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4,38,1.0,0.0,1.0,0.18,0.0,0.0,0.0,0.0,Spoofing
101,187,1,56,8,1510,2931,0,0,0,2,0,1,1,0,0,0,1,0,0,0,0,0,4,1,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,Escalation of Privileges
102,30,1,34,9,167,460,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,1,0,0,116,1,0,0,0,0,0,0,0,0,Escalation of Privileges
103,0,1,22,9,230,1936,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5,255,1.0,0.0,0.2,0.01,0.0,0.0,0.0,0.0,Normal
104,224,1,56,9,5425,18135,0,0,0,4,0,1,2,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,48,1,0,0,0,0,0,0,0,0,Escalation of Privileges
105,0,2,40,9,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,108,1,0,0,0,0,0,0,0,0,Escalation of Privileges
106,47,1,47,9,2088,4091,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,41,3,0,0,0,0,0,0,0,0,Information Disclosure
107,0,1,22,9,254,821,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0.0,0.0,0.0,0.0,1.0,0.0,1.0,44,255,1.0,0.0,0.02,0.02,0.0,0.0,0.02,0.01,Normal
108,0,1,22,9,188,948,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,20,21,0.0,0.0,0.0,0.0,1.0,0.0,0.1,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,Normal
109,0,1,20,8,240,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,2,20,1,0,0,0,0,0,0,0,Information Disclosure
110,0,1,19,9,246,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6,33,1.0,0.0,1.0,0.12,0.0,0.0,0.0,0.0,Spoofing
111,0,1,45,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,1,0,0,0,0,0,0,0,255,1,0,0,0,0,0,0,0,0,DoS
112,0,1,22,9,322,337,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,255,1.0,0.0,1.0,0.04,0.0,0.0,0.0,0.0,Normal
113,0,1,19,9,297,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,3,22,1,0,1,0,0,0,0,0,Information Disclosure
114,0,0,13,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2,255,1.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,Repudiation
115,0,1,45,6,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,7,0,0,0,0,0,0,0,255,9,0,0,0,0,0,0,0,0,DoS
116,15440,2,40,9,145,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,1,0.0,0.85,1.0,0.0,0.0,0.0,0.0,0.0,Normal
117,0,0,13,9,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,255,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,Repudiation
118,0,0,14,9,1032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,511,511,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,255,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Tampering
119,0,1,22,9,336,602,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2,255,1.0,0.0,0.5,0.01,0.0,0.0,0.0,0.0,Normal
120,0,1,19,9,334,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,14,43,0.86,0.14,0.86,0.12,0.0,0.0,0.0,0.0,Spoofing
121,0,1,22,9,238,1281,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,7,0.0,0.0,0.0,0.0,1.0,0.0,0.29,28,255,1.0,0.0,0.04,0.05,0.0,0.0,0.0,0.0,Normal
122,0,1,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,1.0,1.0,1.0,0.0,0.0,255,1,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,Repudiation
123,0,1,19,9,334,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Spoofing
